,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
316,Nabire,83,ID,1601607963,64,-3.37,135.48,30.12,3.08
317,Antigonish,62,CA,1601608486,96,45.62,-62.0,12.22,0.89
318,Mayo,90,US,1601608487,100,38.89,-76.51,15.0,1.5
319,Bonthe,100,SL,1601608487,91,7.53,-12.51,24.85,2.53
320,Tessalit,0,ML,1601608487,24,20.2,1.01,31.25,5.99
321,Tocache,5,PE,1601608487,76,-8.18,-76.51,21.17,0.24
322,Padang,100,ID,1601608488,84,-0.95,100.35,25.37,2.8
323,Kindu,94,CD,1601608488,96,-2.95,25.95,20.27,0.42
324,Saquarema,0,BR,1601608488,88,-22.92,-42.51,27.0,2.6
325,Corn Island,100,NI,1601608488,75,12.17,-83.04,28.15,3.31
326,Eirunepé,48,BR,1601608488,85,-6.66,-69.87,22.84,0.92
327,Terney,100,RU,1601608303,76,45.05,136.61,13.36,4.39
328,Bethel,75,US,1601608210,63,41.37,-73.41,16.0,2.08
329,Murray Bridge,0,AU,1601608489,36,-35.12,139.27,30.0,4.47
330,Chālūs,75,IR,1601608489,77,36.66,51.42,20.0,1.0
331,Rio Grande,97,BR,1601608489,97,-32.03,-52.1,18.33,3.38
332,Aranos,0,NA,1601608490,73,-24.13,19.12,4.23,3.68
333,Brae,96,GB,1601608268,82,60.4,-1.35,13.0,11.8
334,Constantine,0,DZ,1601608490,87,36.37,6.61,13.0,1.0
335,Verkhnevilyuysk,30,RU,1601608490,68,63.45,120.32,3.3,3.35
336,Gaya,75,IN,1601608362,88,24.78,85.0,27.0,1.25
337,Asaba,100,NG,1601608429,96,6.2,6.73,22.65,1.32
338,Ntungamo,0,UG,1601608491,87,-0.88,29.65,16.91,1.38
339,Guangyuan,100,CN,1601608492,99,32.44,105.82,19.44,5.36
340,Puerto del Rosario,90,ES,1601608492,73,28.5,-13.86,23.0,6.2
341,Partenit,0,UA,1601608492,69,44.58,34.34,17.33,2.64
342,Waipawa,4,NZ,1601608194,67,-41.41,175.52,14.0,14.4
343,Mandalgovi,97,MN,1601608285,65,45.76,106.27,3.38,5.8
344,Sistranda,0,NO,1601608493,62,63.73,8.83,13.0,10.8
345,Kaitangata,89,NZ,1601608493,63,-46.28,169.85,12.78,1.79
346,Huarmey,38,PE,1601607991,85,-10.07,-78.15,16.61,4.26
347,Tecpan,20,GT,1601608493,88,14.76,-90.99,19.0,3.1
348,Arraial do Cabo,0,BR,1601608188,87,-22.97,-42.03,23.23,10.82
349,Lock Haven,17,US,1601608494,96,41.14,-77.45,10.56,1.09
350,Mocuba,0,MZ,1601608494,82,-16.84,36.99,20.88,1.77
351,High Rock,73,BS,1601608494,75,26.62,-78.28,28.08,3.18
352,Alice Springs,2,AU,1601608482,6,-23.7,133.88,35.0,5.7
353,Châtellerault,100,FR,1601608495,93,46.8,0.53,13.33,9.3
354,Bubaque,95,GW,1601608237,81,11.28,-15.83,27.32,4.19
355,Amapá,100,BR,1601608203,86,1.0,-52.0,23.5,1.71
356,Cockburn Town,67,TC,1601608220,80,21.46,-71.14,29.03,10.51
357,Ust-Nera,100,RU,1601608495,77,64.57,143.2,3.24,2.59
358,Dryden,90,CA,1601608496,74,49.78,-92.75,1.0,2.1
359,Elk River,40,US,1601608496,82,45.3,-93.57,6.11,3.14
360,Tamiahua,69,MX,1601608496,69,21.27,-97.45,21.13,2.44
361,Khovd,68,MN,1601608496,76,48.01,91.64,1.11,4.21
362,Kaeo,86,NZ,1601608254,59,-35.1,173.78,17.22,4.02
363,Sălătrucu,75,RO,1601608497,93,45.33,24.52,11.11,0.5
364,Talcahuano,0,CL,1601608498,76,-36.72,-73.12,9.0,4.1
365,Arrondissement de Saint-Denis,100,FR,1601608498,87,48.92,2.33,12.22,6.7
366,Ürümqi,11,CN,1601608498,34,43.8,87.6,12.0,1.0
367,Olinda,75,BR,1601608209,83,-8.01,-34.86,26.0,6.2
368,São Domingos do Maranhão,95,BR,1601608498,32,-5.58,-44.39,27.41,1.67
369,Pontianak,92,ID,1601608499,83,-0.03,109.33,27.42,1.74
370,Carbondale,1,US,1601608256,76,37.73,-89.22,11.0,1.5
371,Taywarah,0,AF,1601608499,43,33.35,64.42,7.52,0.92
372,Virginia Beach,0,US,1601608499,85,36.85,-75.98,19.44,4.6
